Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 65°,,Exp Aps 65°,,Exp Asp 65°,,Exp mm12 65°,,Exp mm13 65°,,Exp mm14 65°,,Exp mm21 65°,,Exp mm22 65°,,Exp mm23 65°,,Exp mm24 65°,,Exp mm31 65°,,Exp mm32 65°,,Exp mm33 65°,,Exp mm34 65°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,33.097,245.29,2.6437,245.29,1.173,245.29,-0.40944,245.29,-0.024083,245.29,-0.0025655,245.29,-0.40329,245.29,1.0086,245.29,0.059478,245.29,4.54E-04,245.29,-0.037645,245.29,0.039711,245.29,-0.55973,245.29,0.73554
246.88,33.014,246.88,2.6074,246.88,1.151,246.88,-0.40875,246.88,-0.023711,246.88,-0.0021121,246.88,-0.40857,246.88,1.002,246.88,0.057492,246.88,-1.04E-04,246.88,-0.037489,246.88,0.043548,246.88,-0.62076,246.88,0.67384
248.47,32.875,248.47,2.5938,248.47,1.1451,248.47,-0.41189,248.47,-0.023518,248.47,-0.0025903,248.47,-0.41485,248.47,1.0009,248.47,0.056904,248.47,0.0002813,248.47,-0.039163,248.47,0.046383,248.47,-0.68228,248.47,0.60402
250.06,32.624,250.06,2.6549,250.06,1.1426,250.06,-0.41872,250.06,-0.024352,250.06,-0.0023652,250.06,-0.42448,250.06,1.0003,250.06,0.057927,250.06,-2.38E-04,250.06,-0.040505,250.06,0.049354,250.06,-0.73889,250.06,0.52341
251.64,32.286,251.64,2.6412,251.64,1.1097,251.64,-0.43004,251.64,-0.024611,251.64,-0.0023222,251.64,-0.43805,251.64,1.0028,251.64,0.056697,251.64,0.00020647,251.64,-0.044492,251.64,0.051389,251.64,-0.79194,251.64,0.43131
253.23,31.834,253.23,2.6528,253.23,1.1014,253.23,-0.44824,253.23,-0.02525,253.23,-0.0021054,253.23,-0.45368,253.23,1.0138,253.23,0.056941,253.23,2.27E-04,253.23,-0.052714,253.23,0.053422,253.23,-0.83995,253.23,0.33078
254.82,31.268,254.82,2.6991,254.82,1.0615,254.82,-0.46681,254.82,-0.026509,254.82,-0.0022214,254.82,-0.47219,254.82,1.0165,254.82,0.056973,254.82,3.69E-04,254.82,-0.056394,254.82,0.05367,254.82,-0.86838,254.82,0.21624
256.41,30.657,256.41,2.6972,256.41,0.96038,256.41,-0.48658,256.41,-0.027794,256.41,-0.0021923,256.41,-0.49395,256.41,1.0191,256.41,0.055688,256.41,5.85E-05,256.41,-0.056434,256.41,0.050691,256.41,-0.88065,256.41,0.092888
257.99,29.986,257.99,2.7465,257.99,0.94395,257.99,-0.50767,257.99,-0.028645,257.99,-0.0024362,257.99,-0.51462,257.99,1.0203,257.99,0.055792,257.99,1.84E-04,257.99,-0.056956,257.99,0.04994,257.99,-0.87335,257.99,-0.036734
259.58,29.314,259.58,2.7473,259.58,0.85593,259.58,-0.52802,259.58,-0.029865,259.58,-0.0021837,259.58,-0.53745,259.58,1.0194,259.58,0.054401,259.58,-0.00033131,259.58,-0.050403,259.58,0.044461,259.58,-0.84526,259.58,-0.16826
261.17,28.639,261.17,2.7848,261.17,0.84644,261.17,-0.54606,261.17,-0.029491,261.17,-0.0017173,261.17,-0.55775,261.17,1.0161,261.17,0.054759,261.17,-4.44E-04,261.17,-0.044537,261.17,0.041278,261.17,-0.79052,261.17,-0.29806
262.76,28.08,262.76,2.7817,262.76,0.78612,262.76,-0.56151,262.76,-0.030469,262.76,-0.0021027,262.76,-0.57607,262.76,1.014,262.76,0.053624,262.76,-0.0003909,262.76,-0.034964,262.76,0.033539,262.76,-0.71772,262.76,-0.42303
264.34,27.661,264.34,2.8168,264.34,0.76653,264.34,-0.5724,264.34,-0.030302,264.34,-0.0015681,264.34,-0.58864,264.34,1.0132,264.34,0.054205,264.34,-3.18E-04,264.34,-0.02823,264.34,0.027736,264.34,-0.62168,264.34,-0.5384
265.93,27.443,265.93,2.7769,265.93,0.75878,265.93,-0.5782,265.93,-0.030433,265.93,-0.0016598,265.93,-0.59704,265.93,1.0134,265.93,0.053344,265.93,-0.00066442,265.93,-0.018577,265.93,0.017687,265.93,-0.50556,265.93,-0.64276
267.52,27.441,267.52,2.7778,267.52,0.76053,267.52,-0.57728,267.52,-0.030134,267.52,-0.0023518,267.52,-0.59645,267.52,1.0125,267.52,0.0535,267.52,-1.15E-04,267.52,-0.008202,267.52,0.0084072,267.52,-0.36961,267.52,-0.72946
269.11,27.757,269.11,2.7395,269.11,0.83048,269.11,-0.56764,269.11,-0.028737,269.11,-0.0018805,269.11,-0.59022,269.11,1.0139,269.11,0.053605,269.11,-4.66E-04,269.11,-0.0020248,269.11,-0.00089764,269.11,-0.21391,269.11,-0.79455
270.7,28.388,270.7,2.7588,270.7,0.92833,270.7,-0.54835,270.7,-0.027712,270.7,-0.0013568,270.7,-0.57136,270.7,1.0124,270.7,0.054614,270.7,-0.00057843,270.7,0.0045614,270.7,-0.010337,270.7,-0.045692,270.7,-0.83208
272.29,29.275,272.29,2.5986,272.29,1.0096,272.29,-0.52335,272.29,-0.024753,272.29,-0.0011067,272.29,-0.54893,272.29,1.0156,272.29,0.053185,272.29,-0.0011365,272.29,0.0096944,272.29,-0.019458,272.29,0.1332,272.29,-0.83975
273.87,30.466,273.87,2.6105,273.87,1.1484,273.87,-0.488,273.87,-0.023574,273.87,-0.0012759,273.87,-0.51571,273.87,1.0179,273.87,0.055872,273.87,-0.00093232,273.87,0.014975,273.87,-0.029781,273.87,0.31014,273.87,-0.8142
275.46,31.805,275.46,2.3979,275.46,1.1931,275.46,-0.44678,275.46,-0.020468,275.46,-0.0016446,275.46,-0.47625,275.46,1.0187,275.46,0.054108,275.46,-0.00055664,275.46,0.018516,275.46,-0.037274,275.46,0.48121,275.46,-0.75144
277.05,33.282,277.05,2.2825,277.05,1.2854,277.05,-0.40175,277.05,-0.017616,277.05,-0.0010296,277.05,-0.43212,277.05,1.0222,277.05,0.05573,277.05,-0.00043819,277.05,0.018626,277.05,-0.043454,277.05,0.64165,277.05,-0.65783
278.64,34.764,278.64,2.1071,278.64,1.3546,278.64,-0.35455,278.64,-0.013961,278.64,-0.0013018,278.64,-0.38671,278.64,1.024,278.64,0.055899,278.64,-0.00025601,278.64,0.018916,278.64,-0.049268,278.64,0.77517,278.64,-0.53291
280.23,36.172,280.23,1.9808,280.23,1.3827,280.23,-0.30782,280.23,-0.011931,280.23,-0.0009588,280.23,-0.34016,280.23,1.0243,280.23,0.055429,280.23,-8.88E-05,280.23,0.018792,280.23,-0.053456,280.23,0.87755,280.23,-0.38705
